Tweet Content,Date,User,Source,Tweet ID,Tweet URL
"Dozens of #coronavirus antibody tests on the market were never vetted by the #FDA, leading to accuracy concerns https://t.co/T5wyRs9Xon",2020-04-19 23:57:15,ABatemanHouse,Twitter Web Client,1252023487478235141,https://twitter.com/statuses/1252023487478235141
"These pressers have become campaign 🤦🏼‍♂️ their time for that later this year. This about lives, an starting to open the economy. Can’t be flip flop or bashing. #coronavirus #TrumpPressConference",2020-04-19 23:57:14,ButtonFranklin,Twitter for iPhone,1252023482927456259,https://twitter.com/statuses/1252023482927456259
What a time to be alive! #coronavirus #unemployment https://t.co/SPSlR1TJwe,2020-04-19 23:57:12,industrylaughs,Twitter for iPhone,1252023475650338817,https://twitter.com/statuses/1252023475650338817
"Trump:

""We will let you know!""
""I don't want to tell you because...""

Hey @realDonaldTrump - just admit you don't know something or you're making it up!
 #Coronavirus",2020-04-19 23:57:09,NorsemanActual,Twitter for Android,1252023461683138560,https://twitter.com/statuses/1252023461683138560
"Where were you pop stars celebrities when nurses needed you in 2017 when the government cheered as they voted against a pay rise?  Nowhere to be seen now there is a crisis u come out the wood works telling us NHS workers how much u love us 
Your own self promotion #coronavirus",2020-04-19 23:57:05,tonywright25,Twitter Web App,1252023445027725313,https://twitter.com/statuses/1252023445027725313
Trump taking shots at Canada and Mexico.  Not sure why.  #Coronavirus,2020-04-19 23:57:04,ericcbarnes,Twitter for iPhone,1252023441844129792,https://twitter.com/statuses/1252023441844129792
"Side Effects of the Influenza Vaccine
https://t.co/HG4WMJIMRj #coronavirus #vaccines https://t.co/QEKvEEcWWT",2020-04-19 23:57:03,MiniaKarrina,Twitter Web App,1252023438950182913,https://twitter.com/statuses/1252023438950182913
It's his circus.  We are all just living in it.  But we don't have to watch it.  #coronavirus,2020-04-19 23:57:03,amywojsbu,Twitter Web App,1252023435783557120,https://twitter.com/statuses/1252023435783557120
#Coronavirus The Goveners love me ? This idiot thinks these briefings are winning people over?,2020-04-19 23:57:02,ewwwwlala,Twitter for Android,1252023432255922176,https://twitter.com/statuses/1252023432255922176
"Five new Covid-19 clusters in #Singapore, as 596 new cases brings country’s total to 6,588  #Coronavirus  https://t.co/T30JcZmOY9",2020-04-19 23:56:44,ClaireHuangInc,Twitter for iPhone,1252023359094702080,https://twitter.com/statuses/1252023359094702080
‘We Needed to Go’: Rich Americans Activate Pandemic Escape Plans #Elite #coronavirus https://t.co/iXWG7jbwUQ,2020-04-19 23:56:44,Michael72085373,Twitter for Android,1252023357912072192,https://twitter.com/statuses/1252023357912072192
Sick of reporters being professional! Tell this moron to fuck off!!!!!#Coronavirus,2020-04-19 23:56:38,ShiraAaron,Twitter for iPhone,1252023333522214913,https://twitter.com/statuses/1252023333522214913
trump is so shady and insecure he can’t allow reporters to complete their questions unless it’s OAN. #Coronavirus,2020-04-19 23:56:37,jaggy123,Twitter for iPhone,1252023327272517632,https://twitter.com/statuses/1252023327272517632
Coronavirus: White House Task Force provides daily COVID-19 update #Coronavirus https://t.co/a2TiRNLnK8,2020-04-19 23:56:36,1finekitty,Twitter for iPad,1252023322323361795,https://twitter.com/statuses/1252023322323361795
"SHUT TF UPPP!!! Your president is such a DISGRACE. EMBARRASSING to have this clown in office since day 1. Liar, manipulator, sexist , racist — I CAN GO ON AND ON!! Coronavirus: White House Task Force provides daily COVID-19 update #Coronavirus https://t.co/G0EAC8q6vl",2020-04-19 23:56:34,XangiiiieeeeX,Twitter for iPhone,1252023316749025280,https://twitter.com/statuses/1252023316749025280
"Hmm shelter in place is still on as far as I know, but traffic has been increasing every day and now it feels like it went to normal, before #coronavirus #sunnyvale @CityofSunnyvale have the restrictions been lifted?",2020-04-19 23:56:33,SilviaLPinheiro,Twitter for iPhone,1252023309413216258,https://twitter.com/statuses/1252023309413216258
They’ll be dead by November! #coronavirus https://t.co/nxy2uaC5Nh,2020-04-19 23:56:31,Survive_45_,Twitter for iPad,1252023304065605634,https://twitter.com/statuses/1252023304065605634
"@DrJasonJohnson I think we will be amazed at how many ppl  line up to purchase misc nonsense just to prove their president is correct and the #coronavirus has been a ""Democratic hoax"".",2020-04-19 23:56:29,Dr_CMGreer,Twitter Web App,1252023296041902080,https://twitter.com/statuses/1252023296041902080
Watching Trump makes me happy I live in California. We need to become calination #Coronavirus,2020-04-19 23:56:24,Mymomswhite,Twitter for iPhone,1252023272532672512,https://twitter.com/statuses/1252023272532672512
"Pres Trump Q&A: If supply chain from some other country breaks, will not be happy. ""Not a fan of Mitt Romney ... and don't really want his advice."" #Trump #coronavirus @anthonymace",2020-04-19 23:56:24,MaceNewsMacro,Twitter Web App,1252023272180453376,https://twitter.com/statuses/1252023272180453376
We have a 73-year-old man with the temperament of a 5-year-old (no disrespect to 5-year-olds) handling a global pandemic. Tell me how we're not ALL at risk! This #coronavirus couldn't have struck at a worse time!,2020-04-19 23:56:23,RealChudi,Twitter for Android,1252023269202341888,https://twitter.com/statuses/1252023269202341888
"More people use news sites to keep up with #coronavirus or COVID-19 news than use social media, and 83% trust those news sites, while 50% trust what they see on social media.

https://t.co/fxkpVF6LGR",2020-04-19 23:56:12,thatsjonnyfrank,Twitter Web App,1252023221790130181,https://twitter.com/statuses/1252023221790130181
What an absolute megalomaniac. Please vote him out of office.  #coronavirus,2020-04-19 23:56:06,amydaveler,Twitter for iPhone,1252023197618356227,https://twitter.com/statuses/1252023197618356227
"@FoxNews A P? PP stimulus deal imminent?
I’m a bit skeptical 
However 
If President Trump believes that
Stimulating his P or PP will help
In the fight against the #coronavirus 
I am behind him 100%.",2020-04-19 23:55:59,BrokenTurkey,Twitter Web App,1252023170279882754,https://twitter.com/statuses/1252023170279882754
"Irate, frustrated by his incapacity to respond legitime questions with solid arguments, Pres. Trump melts attacking governors, Democrats and reporters with a huge vulgarity & baseless lies never seen in a US President ... that is becoming worst threat to the US than #Coronavirus https://t.co/7QLZhFGegA",2020-04-19 23:55:58,GregorioMeraz1,Twitter for iPhone,1252023165401907200,https://twitter.com/statuses/1252023165401907200
The next 12 months: #Coronavirus may still be around and answers could be scarce https://t.co/b1J6kbm7V0 via @BostonGlobe,2020-04-19 23:55:58,mc81331,Twitter for Android,1252023163657035776,https://twitter.com/statuses/1252023163657035776
"Sadly, this implies social distancing in a closed space may not be enough. May need to take airflow patterns into account which may be more difficult to analyze than this relatively straightforward example. #coronavirus #SocialDistancing https://t.co/82f0bQXXZp",2020-04-19 23:55:51,MLiben,Twitter for iPad,1252023136742244352,https://twitter.com/statuses/1252023136742244352
"Was speaking earlier today with friends in New York, from Brooklyn to Harlem, who told me how they all participate every night in cheering and singing for healthcare workers. In DC, we have Trump's nightly event. #coronavirus",2020-04-19 23:55:48,ReutersZengerle,Twitter Web App,1252023122817056774,https://twitter.com/statuses/1252023122817056774
Smart president huh #Coronavirus,2020-04-19 23:55:45,josh_wick,Twitter for iPhone,1252023108199948288,https://twitter.com/statuses/1252023108199948288
There are worse places to be in the evening during all this wierdness. #SundayThoughts #coronavirus https://t.co/w2O25pRyIv,2020-04-19 23:55:37,davidcouper,Twitter for Android,1252023074909818881,https://twitter.com/statuses/1252023074909818881
What is wrong with him??  #Coronavirus,2020-04-19 23:55:34,7771Jake,Twitter for iPhone,1252023065401319424,https://twitter.com/statuses/1252023065401319424
#Coronavirus is a Democrat hoax!!  💸 #OpenTheBeaches,2020-04-19 23:55:32,Mary_Alice253,Twitter for Android,1252023056148684800,https://twitter.com/statuses/1252023056148684800
How many more questions before Trump flips the checker board? #TrumpVirus #coronavirus,2020-04-19 23:55:27,Huge2na,Twitter Web App,1252023036003434496,https://twitter.com/statuses/1252023036003434496
the year of #coronavirus is upon us whether we like it or not and i will continue to defiantly craft memes as long as there is breath in my body #COVID19 👀👀 https://t.co/IEpUDD9mDY,2020-04-19 23:55:23,louise_lately,Twitter for iPhone,1252023017384730624,https://twitter.com/statuses/1252023017384730624
"Trump doesn’t know wtf he’s doing. When he’s lies don’t stick, goes personal attacks. Sorry piece of shit.  #Coronavirus",2020-04-19 23:55:20,jacksonmuffet,Twitter for iPhone,1252023006995509249,https://twitter.com/statuses/1252023006995509249
"Pres Trump Q&A: ""That's why your ratings are so bad because you're pathetic,"" tells CNN reporter. Re PPP checks, ""saved their lives"" and recipients will be ""very happy."" In very good coordination with Canada. #Trump #coronavirus @anthonymace",2020-04-19 23:55:19,MaceNewsMacro,Twitter Web App,1252023000792268801,https://twitter.com/statuses/1252023000792268801
"Trump: ""Listen CNN, I told you I wasn't happy about the deal with China, Trump's not happy (referring to himself in a 3rd person)""

Now Trump is TRASHING Speaker Pelosi.

Now he's TRASHING CNN's Ratings.

Trump is beyond PATHETIC. 40K+ Americans have perished from #coronavirus 😡",2020-04-19 23:55:18,morethanmySLE,Twitter Web App,1252022995012460545,https://twitter.com/statuses/1252022995012460545
"#Coronavirus Testing Needs to Triple Before the U.S. Can Reopen, Experts Say #COVIDー19  https://t.co/mhS03VQOJ1",2020-04-19 23:55:13,Transplant_Doc,Twitter Web App,1252022975278256135,https://twitter.com/statuses/1252022975278256135
"#COVID19 situation improves “slowly but surely” in Europe
🇮🇹Italy: reported 3,047 new cases & 433 deaths
🇪🇸Spain: reported 4,258 new cases & 410 deaths
🇫🇷France: reported 1,101 new cases & 395 deaths
🇪🇺: 1.12 million #coronavirus cases & 100,000 deaths
https://t.co/fybH1Srarn",2020-04-19 23:55:10,DailyNewsEgypt,Twitter Web App,1252022962695348224,https://twitter.com/statuses/1252022962695348224
@SpeakerPelosi Where does it say in the Constitution that we have to sit by while the President degrades the press and anybody else he wants to on live TV ? Why doesn’t Democratic Congress stand up and push back .Horror show . #coronavirus,2020-04-19 23:55:09,Mae47143557,Twitter for iPhone,1252022957695737856,https://twitter.com/statuses/1252022957695737856
Mob hands = lying #Coronavirus,2020-04-19 23:55:07,jaggy123,Twitter for iPhone,1252022949114085377,https://twitter.com/statuses/1252022949114085377
#Coronavirus wish these reporters would stop with this crap. This update is suppose to be for the corona virus not every other thing.,2020-04-19 23:55:03,damico_kim,Twitter for iPhone,1252022933624623104,https://twitter.com/statuses/1252022933624623104
@cnn getting blasted 😭😂😭😂 #Coronavirus,2020-04-19 23:55:03,ryan_socrispy,Twitter for iPhone,1252022932940996608,https://twitter.com/statuses/1252022932940996608
"Morn'g @realDonaldTrump, as well as can be my ""fellow human being""? Say 30min's ago I myself saw you say that these folks were a good 6 feet away from each other re following social distancing protocols re #coronavirus, would you say that that statement was #factual? Re's D peace https://t.co/LXZh7d94KS",2020-04-19 23:55:03,PercievedLogic,Twitter for iPad,1252022931686744065,https://twitter.com/statuses/1252022931686744065
"Why Why Why????

""Totally Bogus: California Government Goes Full Commie, Pours Sand Into Skate Parks""
#coronavirus #californialockdown 

https://t.co/H1ycSrJLSC https://t.co/jiNeEgQmmq",2020-04-19 23:55:01,alexparker1984,Twitter Web App,1252022924585963526,https://twitter.com/statuses/1252022924585963526
"Stop the use of #coronavirus relief funds to bail out factory farms. Tell @SecretarySonny to ensure this funding benefits people and communities, not multinational corporations and polluting agribusinesses: https://t.co/9h8hGAFFC1",2020-04-19 23:54:59,Mittens57,Twitter Web Client,1252022916776157189,https://twitter.com/statuses/1252022916776157189
".@POTUS calls reopening the country a beautiful puzzle saying, ""We are going to do it carefully and I think it is going to be successful."" #coronavirus",2020-04-19 23:54:59,J_Policastro,Twitter Web App,1252022915484340226,https://twitter.com/statuses/1252022915484340226
Wtf this a clown 🤡 show he killing Americans get him out #coronavirus #TrumpPressConference,2020-04-19 23:54:55,Queenamberb,Twitter for iPhone,1252022900208607232,https://twitter.com/statuses/1252022900208607232
Please keep anyone with CNN out of these briefings all they do is ask the worst questions #Coronavirus,2020-04-19 23:54:52,BYoung17686699,Twitter for Android,1252022886019354625,https://twitter.com/statuses/1252022886019354625
"This detailed article is the best I've seen. 
#coronavirus 

https://t.co/mXIq7Uh5Ee",2020-04-19 23:54:51,SangyeH,Twitter for Android,1252022885377544198,https://twitter.com/statuses/1252022885377544198
Trump is destroying several Fake News losers tonight. #Coronavirus,2020-04-19 23:54:48,eastwood114,Twitter for iPad,1252022871523819522,https://twitter.com/statuses/1252022871523819522
"4/19/20 at the #coronavirus #PressBriefing, ""The top of the @FBI was scum."" Later he called them ""human scum.""",2020-04-19 23:54:48,PatrickMBoston,Twitter for Android,1252022870366130176,https://twitter.com/statuses/1252022870366130176
@realDonaldTrump is a BULLY!  This is not the time to act like this!  #AmericansAreDying #coronavirus,2020-04-19 23:54:48,Lovie0210,Twitter for iPhone,1252022869258833921,https://twitter.com/statuses/1252022869258833921
"If you have children or radicalized adults in your household.....
@francescavallo released a free picture book for kids about #coronavirus. It's available in MANY different languages! Download it here: https://t.co/WQYAnuWbVQ",2020-04-19 23:54:47,yilinwu9,Twitter Web Client,1252022866633281541,https://twitter.com/statuses/1252022866633281541
"@realDonaldTrump the hateful & #FakeNewsMedia should be removed from the #coronavirus task force briefings. They only want to attack, blame and cause chaos.",2020-04-19 23:54:46,sjhendrix548,Twitter for iPhone,1252022860266172416,https://twitter.com/statuses/1252022860266172416
Im pretty sure we all know who the pathetic one is #Coronavirus,2020-04-19 23:54:42,Mo_Honu,Twitter for iPhone,1252022846886301696,https://twitter.com/statuses/1252022846886301696
This florid speech made by Boris Johnson in Greenwich at the beginning of Feb reveals why the government did not prioritise saving lives in #coronavirus outbreak https://t.co/zm3T8uVwyJ,2020-04-19 23:54:42,julie4nw,Twitter for iPad,1252022845946937344,https://twitter.com/statuses/1252022845946937344
"Fuck every single person who is protesting to get the stay at home order to get lifted.  Fuck you, fuck your haircut.  You can't leave the house for a few weeks big deal, people are fucking dying because of #coronavirus Huge thank you to all the heal care workers https://t.co/EaSPVl8Abi",2020-04-19 23:54:35,TheRealJamoB,Twitter Web App,1252022818046218240,https://twitter.com/statuses/1252022818046218240
"Starting to think about moving to a country that I never hear about, don't know who runs it, and don't meet people from there. Seems to indicate thinks are good. 
Tired of heading leaders on television and thinking f*** they're stupid. #America #coronavirus",2020-04-19 23:54:30,LinaSpritzy,Twitter Web App,1252022797313941512,https://twitter.com/statuses/1252022797313941512
CNN Rocks!  #Coronavirus,2020-04-19 23:54:22,margo27015120,Twitter for iPhone,1252022762039906312,https://twitter.com/statuses/1252022762039906312
@cnnbrk Crazy! ..The Next 2 week will be Awful with many deaths from everyone visiting family and friends on Easter.😢 why can't people stay home.#coronavirus,2020-04-19 23:54:20,workerbugger,Twitter Web App,1252022753282207758,https://twitter.com/statuses/1252022753282207758
I keep seeing this.  Is there any real evidence that these symptoms can be attributed to #coronavirus ? https://t.co/CkcdP2Z2yD,2020-04-19 23:54:15,Politisite,Twitter for iPhone,1252022730423238657,https://twitter.com/statuses/1252022730423238657
TRUMP IS TERRIBLE #Coronavirus,2020-04-19 23:54:11,MzMoe204,Twitter for iPhone,1252022714329640962,https://twitter.com/statuses/1252022714329640962
"Is it wrong for me to want them to get a mild case of #coronavirus?
No hospital! Just painful enough for them to get the message! https://t.co/Vq5g58UDKq",2020-04-19 23:54:01,BarbaraMuchow,Twitter for iPad,1252022674546548736,https://twitter.com/statuses/1252022674546548736
#Coronavirus #ANASTYPOTUS lying again. God help us!!!,2020-04-19 23:53:52,GOPloves,Twitter for iPhone,1252022635866787841,https://twitter.com/statuses/1252022635866787841
"The so-called Red-Pilled people are panicking more with the #coronavirus hoax than the Greta-Al Gore's global-warming-BS apologists. 
Many Q people are on Quarantine... under the bed. https://t.co/nq6o17Xbpk",2020-04-19 23:53:51,Audie_Murphy45,Twitter Web App,1252022631253053440,https://twitter.com/statuses/1252022631253053440
White Trash House  #Coronavirus,2020-04-19 23:53:51,nanitop7,Twitter for iPhone,1252022630913380352,https://twitter.com/statuses/1252022630913380352
"(3) Perhaps mitigation for us in the future, means wearing masks, limiting large events, and good hygiene. #coronavirus",2020-04-19 23:53:37,danbrackenjr,Twitter for Android,1252022574319652865,https://twitter.com/statuses/1252022574319652865
"Pres Trump Q&A: Duped by China's Pres Xi? No, you and Pres Obama duped by China ""ripping off"" US. Repeats long after ""wonderful"" trade deal. Then comes virus. After trade deal came virus. ""You people are so pathetic at CNN."" #Trump #coronavirus @anthonymace",2020-04-19 23:53:36,MaceNewsMacro,Twitter Web App,1252022569206796288,https://twitter.com/statuses/1252022569206796288
